id,name,name_bn,type,parent_id,code,description,order,is_active
1,Chancellor Office,চ্যান্সেলর অফিস,office,,CHAN,Chancellor's Office,10,True
2,Vice Chancellor Office,উপাচার্য অফিস,office,,VC,Vice Chancellor's Office and Administrative Wing,20,True
3,Pro Vice Chancellor Office,সহ-উপাচার্য অফিস,office,,PVC,Pro Vice Chancellor's Office,30,True
4,Treasurer Office,কোষাধ্যক্ষ অফিস,office,,TREAS,Treasurer's Office,40,True
5,Faculty of Engineering & Technology,প্রকৌশল ও প্রযুক্তি অনুষদ,faculty,,FET,Faculty of Engineering and Technology,50,True
6,Department of Chemical Engineering,রাসায়নিক প্রকৌশল বিভাগ,department,5,ChE,Chemical Engineering Department,60,True
7,Department of Industrial & Production Engineering,শিল্প ও উৎপাদন প্রকৌশল বিভাগ,department,5,IPE,Industrial and Production Engineering Department,70,True
8,Department of Petroleum & Mining Engineering,পেট্রোলিয়াম ও খনন প্রকৌশল বিভাগ,department,5,PME,Petroleum and Mining Engineering Department,80,True
9,Department of Electrical & Electronic Engineering,বৈদ্যুতিক ও ইলেকট্রনিক প্রকৌশল বিভাগ,department,5,EEE,Electrical and Electronic Engineering Department,90,True
10,Department of Textile Engineering,টেক্সটাইল প্রকৌশল বিভাগ,department,5,TE,Textile Engineering Department,100,True
11,Department of Bio-Medical Engineering,বায়ো-মেডিকেল প্রকৌশল বিভাগ,department,5,BME,Bio-Medical Engineering Department,110,True
12,Department of Mechatronics Engineering,মেকাট্রনিক্স প্রকৌশল বিভাগ,department,5,ME,Mechatronics Engineering Department,120,True
13,Faculty of Computing & Information Engineering,কম্পিউটিং ও তথ্য প্রকৌশল অনুষদ,faculty,,FCIE,Faculty of Computing and Information Engineering,130,True
14,Department of Computer Science & Engineering,কম্পিউটার বিজ্ঞান ও প্রকৌশল বিভাগ,department,13,CSE,Computer Science and Engineering Department,140,True
15,Department of Software Engineering,সফটওয়্যার প্রকৌশল বিভাগ,department,13,SE,Software Engineering Department,150,True
16,Department of Computational Biology,কম্পিউটেশনাল জীববিজ্ঞান বিভাগ,department,13,CB,Computational Biology Department,160,True
17,Faculty of Biological Science & Technology,জৈবিক বিজ্ঞান ও প্রযুক্তি অনুষদ,faculty,,FBST,Faculty of Biological Science and Technology,170,True
18,Department of Microbiology,অণুজীববিজ্ঞান বিভাগ,department,17,MB,Microbiology Department,180,True
19,Department of Fisheries & Marine Bio-science,মৎস্যবিজ্ঞান ও সামুদ্রিক জীববিজ্ঞান বিভাগ,department,17,FMB,Fisheries and Marine Bio-science Department,190,True
20,Department of Genetic Engineering & Biotechnology,জেনেটিক ইঞ্জিনিয়ারিং ও বায়োটেকনোলজি বিভাগ,department,17,GEB,Genetic Engineering and Biotechnology Department,200,True
21,Department of Pharmacy,ফার্মেসি বিভাগ,department,17,PHAR,Pharmacy Department,210,True
22,Department of Biochemistry & Molecular Biology,জৈব রসায়ন ও আণবিক জীববিজ্ঞান বিভাগ,department,17,BMB,Biochemistry and Molecular Biology Department,220,True
23,Faculty of Health Science,স্বাস্থ্য বিজ্ঞান অনুষদ,faculty,,FHS,Faculty of Health Science,230,True
24,Department of Physical Education Sports Science,শারীরিক শিক্ষা ও ক্রীড়া বিজ্ঞান বিভাগ,department,23,PESS,Physical Education and Sports Science Department,240,True
25,Department of Nursing & Health Science,নার্সিং ও স্বাস্থ্য বিজ্ঞান বিভাগ,department,23,NHS,Nursing and Health Science Department,250,True
26,Department of Physiotherapy and Rehabilitation,ফিজিওথেরাপি ও পুনর্বাসন বিভাগ,department,23,PTR,Physiotherapy and Rehabilitation Department,260,True
27,Department of Public Health,জনস্বাস্থ্য বিভাগ,department,23,PH,Public Health Department,270,True
28,Faculty of Science,বিজ্ঞান অনুষদ,faculty,,FS,Faculty of Science,280,True
29,Department of Physics,পদার্থবিজ্ঞান বিভাগ,department,28,PHY,Physics Department,290,True
30,Department of Mathematics,গণিত বিভাগ,department,28,MATH,Mathematics Department,300,True
31,Department of Chemistry,রসায়ন বিভাগ,department,28,CHEM,Chemistry Department,310,True
32,Department of Climate and Disaster Management,জলবায়ু ও দুর্যোগ ব্যবস্থাপনা বিভাগ,department,28,CDM,Climate and Disaster Management Department,320,True
33,Faculty of Applied Science & Technology,ফলিত বিজ্ঞান ও প্রযুক্তি অনুষদ,faculty,,FAST,Faculty of Applied Science and Technology,330,True
